Source,Target
China,UnitedStates
China,Russia
China,UnitedKingdom
China,France
China,Israel
China,India
China,Pakistan
China,NorthKorea
China,SouthEurope
China,Oceania
China,EastEurope
China,NorthEurope
China,Canada
China,CentralAmerica
China,Mongolia
China,MiddleEast
China,Japan
China,SouthEastAsia
China,SouthAfrica
China,CentralAfrica
China,NorthAfrica
India,China
India,Pakistan
India,Russia
India,Israel
India,NorthKorea
India,SouthEurope
India,EastEurope
India,NorthEurope
India,Oceania
India,Mongolia
India,MiddleEast
India,Japan
India,SouthEastAsia
India,SouthAfrica
India,CentralAfrica
India,NorthAfrica
Israel,France
Israel,UnitedKingdom
Israel,India
Israel,Russia
Israel,Pakistan
Israel,China
Israel,SouthEurope
Israel,EastEurope
Israel,NorthEurope
Israel,Mongolia
Israel,MiddleEast
Israel,SouthAfrica
Israel,CentralAfrica
Israel,NorthAfrica
Pakistan,Israel
Pakistan,India
Pakistan,China
Pakistan,Russia
Pakistan,MiddleEast
NorthKorea,UnitedKingdom
NorthKorea,France
NorthKorea,Russia
NorthKorea,UnitedStates
NorthKorea,India
NorthKorea,Pakistan
NorthKorea,Israel
NorthKorea,China
NorthKorea,SouthEurope
NorthKorea,EastEurope
NorthKorea,NorthEurope
NorthKorea,Canada
NorthKorea,CentralAmerica
NorthKorea,Oceania
NorthKorea,Mongolia
NorthKorea,MiddleEast
NorthKorea,Japan
NorthKorea,SouthEastAsia
NorthKorea,SouthAfrica
NorthKorea,CentralAfrica
NorthKorea,NorthAfrica
Russia,UnitedKingdom
Russia,France
Russia,UnitedStates
Russia,India
Russia,Pakistan
Russia,Israel
Russia,China
Russia,NorthKorea
Russia,SouthEurope
Russia,EastEurope
Russia,NorthEurope
Russia,Canada
Russia,CentralAmerica
Russia,SouthAmerica
Russia,Oceania
Russia,Mongolia
Russia,MiddleEast
Russia,Japan
Russia,SouthEastAsia
Russia,SouthAfrica
Russia,CentralAfrica
Russia,NorthAfrica
UnitedStates,China
UnitedStates,Russia
UnitedStates,UnitedKingdom
UnitedStates,France
UnitedStates,Israel
UnitedStates,India
UnitedStates,Pakistan
UnitedStates,NorthKorea
UnitedStates,SouthEurope
UnitedStates,EastEurope
UnitedStates,NorthEurope
UnitedStates,Canada
UnitedStates,SouthAmerica
UnitedStates,CentralAmerica
UnitedStates,Oceania
UnitedStates,Mongolia
UnitedStates,MiddleEast
UnitedStates,Japan
UnitedStates,SouthEastAsia
UnitedStates,SouthAfrica
UnitedStates,CentralAfrica
UnitedStates,NorthAfrica
France,UnitedStates
France,China
France,Pakistan
France,India
France,Israel
France,Russia
France,UnitedKingdom
France,SouthEurope
France,EastEurope
France,NorthEurope
France,Canada
France,Mongolia
France,MiddleEast
France,SouthAfrica
France,CentralAfrica
France,NorthAfrica
UnitedKingdom,China
UnitedKingdom,Russia
UnitedKingdom,UnitedStates
UnitedKingdom,France
UnitedKingdom,Israel
UnitedKingdom,India
UnitedKingdom,Pakistan
UnitedKingdom,NorthKorea
UnitedKingdom,SouthEurope
UnitedKingdom,EastEurope
UnitedKingdom,NorthEurope
UnitedKingdom,CentralAmerica
UnitedKingdom,SouthAmerica
UnitedKingdom,Oceania
UnitedKingdom,Mongolia
UnitedKingdom,MiddleEast
UnitedKingdom,Japan
UnitedKingdom,SouthEastAsia
UnitedKingdom,SouthAfrica
UnitedKingdom,CentralAfrica
UnitedKingdom,NorthAfrica
